2023-11-18 13:27:40,304 Namespace(out_dir='out', frequent=10, eval_interval=1, gpu=True, num_workers=0)
2023-11-18 13:27:40,613 => load 200 samples
2023-11-18 13:27:40,614 => load 200 samples
2023-11-18 13:27:41,184 Epoch: [0][0/200]	Time 0.569s (0.569s)	Speed 56.2 samples/s	Data 0.017s (0.017s)	Loss 2.54372 (2.54372)
2023-11-18 13:27:41,265 Epoch: [0][10/200]	Time 0.008s (0.059s)	Speed 3999.9 samples/s	Data 0.003s (0.004s)	Loss 2.02660 (2.23468)
2023-11-18 13:27:41,344 Epoch: [0][20/200]	Time 0.007s (0.035s)	Speed 4571.4 samples/s	Data 0.003s (0.004s)	Loss 1.77500 (2.06650)
2023-11-18 13:27:41,423 Epoch: [0][30/200]	Time 0.008s (0.026s)	Speed 4000.2 samples/s	Data 0.003s (0.004s)	Loss 1.53988 (1.92805)
2023-11-18 13:27:41,511 Epoch: [0][40/200]	Time 0.008s (0.022s)	Speed 4000.4 samples/s	Data 0.003s (0.004s)	Loss 1.34488 (1.80779)
2023-11-18 13:27:41,592 Epoch: [0][50/200]	Time 0.008s (0.019s)	Speed 4000.2 samples/s	Data 0.003s (0.004s)	Loss 1.16858 (1.69934)
2023-11-18 13:27:41,671 Epoch: [0][60/200]	Time 0.008s (0.017s)	Speed 4000.3 samples/s	Data 0.003s (0.003s)	Loss 1.02072 (1.59897)
2023-11-18 13:27:41,749 Epoch: [0][70/200]	Time 0.007s (0.016s)	Speed 4571.0 samples/s	Data 0.003s (0.003s)	Loss 0.87189 (1.50843)
2023-11-18 13:27:41,827 Epoch: [0][80/200]	Time 0.007s (0.015s)	Speed 4571.3 samples/s	Data 0.003s (0.003s)	Loss 0.78416 (1.42444)
2023-11-18 13:27:41,905 Epoch: [0][90/200]	Time 0.008s (0.014s)	Speed 3999.9 samples/s	Data 0.003s (0.003s)	Loss 0.69084 (1.34738)
2023-11-18 13:27:41,983 Epoch: [0][100/200]	Time 0.008s (0.014s)	Speed 4000.4 samples/s	Data 0.003s (0.003s)	Loss 0.58063 (1.27580)
2023-11-18 13:27:42,061 Epoch: [0][110/200]	Time 0.008s (0.013s)	Speed 3999.8 samples/s	Data 0.003s (0.003s)	Loss 0.49900 (1.20936)
2023-11-18 13:27:42,140 Epoch: [0][120/200]	Time 0.007s (0.013s)	Speed 4570.8 samples/s	Data 0.002s (0.003s)	Loss 0.42696 (1.14864)
2023-11-18 13:27:42,218 Epoch: [0][130/200]	Time 0.007s (0.012s)	Speed 4571.6 samples/s	Data 0.003s (0.003s)	Loss 0.42520 (1.09282)
2023-11-18 13:27:42,298 Epoch: [0][140/200]	Time 0.008s (0.012s)	Speed 4000.3 samples/s	Data 0.003s (0.003s)	Loss 0.37882 (1.04337)
2023-11-18 13:27:42,376 Epoch: [0][150/200]	Time 0.007s (0.012s)	Speed 4571.6 samples/s	Data 0.003s (0.003s)	Loss 0.36510 (0.99766)
2023-11-18 13:27:42,454 Epoch: [0][160/200]	Time 0.007s (0.011s)	Speed 4571.6 samples/s	Data 0.003s (0.003s)	Loss 0.33951 (0.95660)
2023-11-18 13:27:42,534 Epoch: [0][170/200]	Time 0.007s (0.011s)	Speed 4571.4 samples/s	Data 0.003s (0.003s)	Loss 0.32779 (0.91931)
2023-11-18 13:27:42,611 Epoch: [0][180/200]	Time 0.007s (0.011s)	Speed 4571.4 samples/s	Data 0.003s (0.003s)	Loss 0.29700 (0.88552)
2023-11-18 13:27:42,690 Epoch: [0][190/200]	Time 0.008s (0.011s)	Speed 4000.3 samples/s	Data 0.003s (0.003s)	Loss 0.26628 (0.85378)
